Id,Lot Area,Neighborhood,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Foundation,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Mo Sold,Yr Sold,SalePrice
109,13517,Sawyer,1Fam,2Story,6,8,1976,2005,HdBoard,Plywood,BrkFace,289.0,Gd,CBlock,192.0,725.0,725,754,0.0,2,1,3,Gd,6,Typ,0,Attchd,1976.0,2.0,475.0,Y,0,44,3,2010,130500
544,11492,SawyerW,1Fam,2Story,7,5,1996,1997,VinylSd,VinylSd,BrkFace,132.0,Gd,PConc,276.0,913.0,913,1209,1.0,2,1,4,Gd,8,Typ,1,Attchd,1997.0,2.0,559.0,Y,0,74,4,2009,220000
153,7922,NAmes,1Fam,1Story,5,7,1953,2007,VinylSd,VinylSd,None,0.0,TA,CBlock,326.0,1057.0,1057,0,1.0,1,0,3,Gd,5,Typ,0,Detchd,1953.0,1.0,246.0,Y,0,52,1,2010,109000
318,9802,Timber,1Fam,2Story,5,5,2006,2007,VinylSd,VinylSd,None,0.0,TA,PConc,384.0,384.0,744,700,0.0,2,1,3,TA,7,Typ,0,BuiltIn,2007.0,2.0,400.0,Y,100,0,4,2010,174000
255,14235,SawyerW,1Fam,1.5Fin,6,8,1900,1993,Wd Sdng,Plywood,None,0.0,TA,PConc,676.0,676.0,831,614,0.0,2,0,3,TA,6,Typ,0,Detchd,1957.0,2.0,484.0,N,0,59,3,2010,138500
138,16492,NAmes,1Fam,1Story,6,6,1966,2002,BrkFace,Plywood,None,0.0,Gd,CBlock,557.0,1517.0,1888,0,0.0,2,1,2,Gd,6,Mod,1,Attchd,1966.0,2.0,578.0,Y,0,0,6,2010,190000
2827,3675,Edwards,TwnhsE,SFoyer,6,5,2005,2006,VinylSd,VinylSd,BrkFace,82.0,TA,PConc,0.0,547.0,1072,0,1.0,2,0,2,TA,5,Typ,0,Basment,2005.0,2.0,525.0,Y,0,44,6,2006,140000
145,12160,NAmes,1Fam,1Story,5,5,1959,1959,Plywood,Plywood,BrkFace,180.0,TA,CBlock,188.0,1188.0,1188,0,1.0,1,0,3,TA,6,Typ,0,Attchd,1959.0,2.0,531.0,Y,0,0,5,2010,142000
1942,15783,OldTown,1Fam,1Story,5,5,1952,1952,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,632.0,924.0,924,0,0.0,1,0,2,TA,6,Typ,0,Detchd,1952.0,1.0,420.0,Y,0,324,6,2007,112500
1956,11606,NAmes,1Fam,2Story,5,5,1969,1969,Plywood,Plywood,BrkFace,192.0,TA,PConc,390.0,1040.0,1040,1040,0.0,1,2,5,Fa,9,Typ,2,Attchd,1969.0,2.0,504.0,Y,335,0,9,2007,135000
1044,1680,BrDale,Twnhs,2Story,6,5,1971,1971,HdBoard,HdBoard,BrkFace,232.0,TA,CBlock,96.0,483.0,483,504,0.0,1,1,2,TA,4,Typ,0,Detchd,1971.0,1.0,264.0,Y,0,0,7,2008,85400
2752,7488,CollgCr,1Fam,1Story,7,5,2005,2005,VinylSd,VinylSd,None,0.0,Gd,PConc,815.0,1208.0,1208,0,0.0,2,0,2,Gd,6,Typ,0,Attchd,2005.0,2.0,632.0,Y,105,58,2,2006,183600
807,26400,SawyerW,1Fam,2Story,5,7,1880,2007,HdBoard,HdBoard,None,0.0,Gd,PConc,0.0,0.0,1288,728,0.0,1,0,4,TA,7,Mod,1,Attchd,1900.0,2.0,576.0,P,0,0,6,2009,131000
1177,2645,Somerst,Twnhs,2Story,8,5,1999,2000,MetalSd,MetalSd,BrkFace,456.0,Gd,PConc,147.0,960.0,962,645,1.0,2,1,3,Gd,7,Typ,0,Detchd,2000.0,2.0,480.0,Y,169,0,12,2008,200000
1480,9627,CollgCr,1Fam,1Story,7,5,2007,2007,VinylSd,VinylSd,None,0.0,Gd,PConc,1327.0,1351.0,1361,0,0.0,2,0,3,Gd,6,Typ,0,Attchd,2007.0,2.0,610.0,Y,0,50,6,2008,193000
324,10114,Mitchel,1Fam,1Story,5,5,2004,2005,VinylSd,VinylSd,None,0.0,TA,PConc,1430.0,1430.0,1430,0,0.0,2,0,3,Gd,7,Typ,0,Attchd,2004.0,2.0,624.0,Y,0,0,3,2010,173500
1311,4571,OldTown,1Fam,2Story,5,5,1916,1950,AsbShng,AsbShng,None,0.0,TA,BrkTil,624.0,624.0,624,720,0.0,1,0,4,TA,7,Typ,0,Detchd,1916.0,3.0,513.0,Y,0,0,5,2008,98000
